Class,Precision,Recall,mAP50,mAP50-95
RBC,0.731811106858595,0.9085903083700441,0.9071693745716102,0.6767948246200727
WBC,0.3664747188727411,1.0,0.4234730344379466,0.35172932485343167
Platelets,0.4110680485058096,0.6980157442782602,0.4681939481295964,0.2751924988127515
All Classes,0.5031179580790485,0.8688686842161014,0.5996121190463845,0.4345722160954186
